year,male,female,total
1996,2003109,1916678,3919787
1997,1997063,1908561,3905624
1998,2026806,1937701,3964507
1999,2037920,1945832,3983752
2000,2086976,1994461,4081437
2001,2066991,1979571,4046562
2002,2065175,1973556,4038731
2003,2099617,2004932,4104549
2004,2111689,2016063,4127752
2005,2125380,2027508,4152888
2006,2190066,2088261,4278327
2007,2212515,2113906,4326421
2008,2177409,2079948,4257357
2009,2117746,2021799,4139545
2010,2050778,1956853,4007631
2011,2026895,1933342,3960237
2012,2023569,1934051,3957620
2013,2013559,1920953,3934512
2014,2039794,1947553,3987347
2015,2026872,1935109,3961981
