name,gender,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Amelia,F,929,1145,1249,1511,1489,1709,1973,2299,2649,2976,2907,3250,3440,3625,4227,5054,7061,5570,5327,5158
Olivia,F,2456,2789,3550,5250,4546,4001,3798,4024,3985,4282,4961,4814,5325,5201,5279,4938,4585,4598,4724,4853
Emily,F,6415,6616,6550,6760,6232,5918,5390,5423,5399,4752,4474,4732,4881,4462,4310,3974,4029,4049,3991,3893
Isla,F,87,84,87,124,125,115,142,233,311,432,575,964,1599,1908,2384,2849,3501,3526,4012,3474
Ava,F,30,55,51,70,129,194,214,295,346,657,966,1377,2314,2827,3438,3621,3779,3575,3171,3414
Ella,F,1137,1300,1538,1881,2022,2283,2763,3494,3274,3220,3286,3671,3042,2818,2601,2783,2559,2722,2465,3028
Jessica,F,6711,6090,5719,4799,4779,4888,5094,4928,4838,5030,4908,4595,4672,4291,4102,3984,4165,3507,2995,2937
Isabella,F,441,470,594,883,796,950,1041,1350,1555,2065,2306,2364,2424,2607,3395,3464,3358,3246,3022,2876
Mia,F,397,583,721,980,1149,2058,2446,3132,3017,2539,2975,2970,3121,2836,3009,3346,3524,2993,2727,2842
Poppy,F,537,468,534,516,598,617,828,1200,1246,1574,1794,1886,1975,2226,2706,2932,3203,3422,3273,2816
Sophie,F,7087,6311,5682,5031,4624,4560,4688,4592,4670,4422,4309,4188,4380,4452,4469,3923,3496,3013,2905,2779
Sophia,F,516,566,596,536,591,577,622,709,879,940,1137,1398,1510,1693,2031,2661,2855,2764,2752,2744
Lily,F,651,721,873,1007,1124,1368,1706,2221,2803,2871,3407,4011,4047,3967,4257,4761,3802,2883,2965,2711
Grace,F,1421,1440,1582,1867,2187,2144,2519,3165,3393,3653,5026,4939,4775,4208,3722,3691,3188,2799,2785,2658
Evie,F,167,193,220,267,400,548,652,917,1407,1879,2239,2936,3281,3389,3469,3385,3280,2767,2664,2529
Scarlett,F,195,206,233,235,238,285,367,403,774,1261,1283,1369,1574,2045,2133,1987,2248,2643,2359,2285
Ruby,F,458,485,475,581,675,745,795,1084,1654,3149,4511,4983,4931,4555,3961,3702,3231,2948,2595,2215
Chloe,F,6824,7745,9628,9038,7534,6984,5708,5058,4530,4017,4031,4019,4605,4479,3883,3347,2776,2401,2215,2158
Isabelle,F,469,509,596,601,796,903,1073,1214,1665,1800,1945,2161,2460,2546,2689,2719,2594,2287,2241,2119
Daisy,F,828,857,839,796,1013,1064,1160,1553,1638,1879,1990,1988,2134,2449,2797,2458,2209,2168,1957,2113
Freya,F,394,450,563,589,686,967,1049,1211,1605,1794,2067,1949,2111,2228,2574,2619,2557,2266,2164,2090
Phoebe,F,910,1071,1371,1431,1319,1256,1160,1182,1290,1569,1634,1769,2116,2074,2027,2008,1825,1992,2099,2081
