year,male,female,total
2015,358099,339753,697852
2014,356755,338478,695233
2013,358438,340074,698512
2012,374429,355245,729674
2011,370957,352956,723913
2010,370917,352248,723165
2009,362073,344175,706248
2008,362998,345713,708711
2007,354567,335446,690013
2006,342488,327113,669601
2005,330640,315195,645835
2004,328270,311451,639721
2003,318461,303008,621469
2002,306038,290084,596122
2001,304569,290065,594634
2000,309592,294849,604441
1999,319258,302614,621872
1998,325857,310044,635901
1997,329543,313552,643095
1996,333434,316051,649485
